WEDNESDAY,5,1,Emre Ugur,CMPE,140
FRIDAY,3,1,Pinar Yolum,CMPE,150
FRIDAY,7,1,Sadik Fikret Gurgen,CMPE,210
TUESDAY,1,1,Arzucan Ozgur,CMPE,220
WEDNESDAY,8,2,Ethem Alpaydin,CMPE,343
THURSDAY,10,1,Arda Yurdakul,CMPE,443
MONDAY,1,1,Tuna Tugcu,CMPE,322
WEDNESDAY,1,1,Suzan Uskudarli,CMPE,451
TUESDAY,8,1,Suzan Uskudarli,CMPE,451
THURSDAY,5,1,Cem Ersoy,CMPE,475
THURSDAY,7,1,Cem Say,CMPE,300
TUESDAY,6,1,Alper Sen,CMPE,436
THURSDAY,1,1,Fatma Basak Aydemir,CMPE,260
MONDAY,6,1,Lale Akarun,CMPE,344
FRIDAY,10,1,Lale Akarun,CMPE,537
